Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,16759,18.0,18,,,,,,
,,,,,16891,132.0,132,,,,,,
,,,,,16920,29.0,29,,,,,,
,,,,,16935,15.0,15,,,,,,
,,,,,16994,59.0,59,,,,,,
,,,,,17000,,,0.0459635853767395,13.57806396484375,13.598278045654297,1.8546693325042725,0.49,0.0005
,,,,,17005,11.0,11,,,,,,
,,,,,17027,22.0,22,,,,,,
,,,,,17054,27.0,27,,,,,,
,,,,,17079,25.0,25,,,,,,
,,,,,17115,36.0,36,,,,,,
,,,,,17260,145.0,145,,,,,,
,,,,,17384,124.0,124,,,,,,
,,,,,17400,16.0,16,,,,,,
,,,,,17430,30.0,30,,,,,,
500.0,0.0,500.0,500.0,500.0,17500,,,0.18526045978069305,14.959708213806152,14.943048477172852,2.5371100902557373,0.475,0.0005
,,,,,17546,116.0,116,,,,,,
,,,,,17608,62.0,62,,,,,,
,,,,,17678,70.0,70,,,,,,
,,,,,17690,12.0,12,,,,,,
,,,,,17766,76.0,76,,,,,,
,,,,,17854,88.0,88,,,,,,
,,,,,17993,139.0,139,,,,,,
,,,,,18000,,,0.37337207794189453,15.019100189208984,14.924934387207031,6.6295576095581055,0.45999999999999996,0.0005
,,,,,18023,30.0,30,,,,,,
,,,,,18151,128.0,128,,,,,,
,,,,,18169,18.0,18,,,,,,
,,,,,18181,12.0,12,,,,,,
,,,,,18338,157.0,157,,,,,,
,,,,,18350,12.0,12,,,,,,
,,,,,18369,19.0,19,,,,,,
,,,,,18381,12.0,12,,,,,,
,,,,,18402,21.0,21,,,,,,
,,,,,18507,105.0,105,,,,,,
,,,,,18560,53.0,53,,,,,,
,,,,,18589,29.0,29,,,,,,
,,,,,18610,21.0,21,,,,,,
,,,,,18640,30.0,30,,,,,,
,,,,,18677,37.0,37,,,,,,
,,,,,18710,33.0,33,,,,,,
,,,,,18771,61.0,61,,,,,,
,,,,,18800,29.0,29,,,,,,
,,,,,18911,111.0,111,,,,,,
,,,,,18925,14.0,14,,,,,,
,,,,,18944,19.0,19,,,,,,
,,,,,19000,,,0.059172697365283966,15.536617279052734,15.580743789672852,2.8182809352874756,0.43000000000000005,0.0005
,,,,,19045,101.0,101,,,,,,
,,,,,19103,58.0,58,,,,,,
,,,,,19132,29.0,29,,,,,,
,,,,,19190,58.0,58,,,,,,
,,,,,19214,24.0,24,,,,,,
,,,,,19229,15.0,15,,,,,,
,,,,,19323,94.0,94,,,,,,
,,,,,19341,18.0,18,,,,,,
,,,,,19358,17.0,17,,,,,,
,,,,,19376,18.0,18,,,,,,
,,,,,19403,27.0,27,,,,,,
,,,,,19519,116.0,116,,,,,,
,,,,,19537,18.0,18,,,,,,
,,,,,19572,35.0,35,,,,,,
,,,,,19580,8.0,8,,,,,,
,,,,,19618,38.0,38,,,,,,
,,,,,19680,62.0,62,,,,,,
,,,,,19724,44.0,44,,,,,,
,,,,,19808,84.0,84,,,,,,
,,,,,19846,38.0,38,,,,,,
,,,,,19891,45.0,45,,,,,,
,,,,,19942,51.0,51,,,,,,
,,,,,19962,20.0,20,,,,,,
108.4,3.3226497,113.0,103.0,108.4,20000,,,1.5193979740142822,17.103382110595703,17.007354736328125,6.5795440673828125,0.4,0.0005
,,,,,20060,98.0,98,,,,,,
,,,,,20075,15.0,15,,,,,,
,,,,,20097,22.0,22,,,,,,
,,,,,20262,165.0,165,,,,,,
,,,,,20284,22.0,22,,,,,,
,,,,,20332,48.0,48,,,,,,
,,,,,20407,75.0,75,,,,,,
,,,,,20455,48.0,48,,,,,,
,,,,,20475,20.0,20,,,,,,
,,,,,20574,99.0,99,,,,,,
,,,,,20690,116.0,116,,,,,,
,,,,,20765,75.0,75,,,,,,
,,,,,20780,15.0,15,,,,,,
,,,,,20824,44.0,44,,,,,,
,,,,,20900,76.0,76,,,,,,
,,,,,20914,14.0,14,,,,,,
,,,,,20936,22.0,22,,,,,,
,,,,,20958,22.0,22,,,,,,
,,,,,21000,,,0.045019056648015976,17.03799819946289,17.019840240478516,1.4295756816864014,0.37,0.0005
,,,,,21054,96.0,96,,,,,,
,,,,,21075,21.0,21,,,,,,
